Feature question in English	Value set	Clarifying comments to outsiders (from the proposal by Jeremy, Hannah and Hedvig)	Value	Suggested standardised comments in dropdown menu form	Source	Comment	Relevant unit(s)	Function	Formal means	Standardised comments list	Feature_ID	Feature Domain	Contributed_Datapoints
Is there a gender distinction in 3rd person pronouns (or demonstratives, if no 3rd person pronouns)?	1: present, 0: absent	This is often natural gender (masc./fem), but it could be animacy as well. If pronouns of inanimate nouns agree with the gender/noun class of that noun that will suffice for (1) here.	1		Vycichl (2005:216)		demonstrative, pronoun	pronominal gender	paradigm, declension	1	GB030		
Is there a dual (or unit augmented) in addition to a plural (or augmented) number category in pronouns?	1: present, 0: absent	This needs to be a category that is present for all persons, i.e. 29:1 -> 31:1 is not (necessarily) true	0		Vycichl (2005:216)		pronoun	number	paradigm, declension	1	GB031		
Are 1st and 2nd persons conflated in any context?	1: present, 0: absent	Excluding honorifics.	0		Vycichl (2005:216)		pronoun, bound person form	person, TAM, negation	paradigm, declension, bound person marking	3	GB032		
Are person categories neutralized under some conditions?	1: present, 0: absent	In this question we mean all person categories, not just one person. It could for example be that person-marking entirely disappears under negation. Excluding honorifics and imperatives and non-finite forms of verbs.	?		Vycichl (2005:1-258)	Not discussed.	pronoun, bound person form	person, TAM, negation	paradigm, declension, bound person marking	4	GB034		
Is there an opposition between three or more distance terms in the demonstrative system?	1: present, 0: absent	Demonstratives are markers of a small set This doesn't have to be only Euclidean distance (meters, inches etc.), it could also be concerned with near or far in relation to the interlocutors (cf. Wolof). If the system of demonstratives includes a marker that is anaphoric this does not count as a third distance.	1		Souag (2010:255)	Proximal, medial, and distal.	demonstrative	deixis	paradigm, declension, suppletion	2	GB035		
Is elevation morphologically marked in demonstratives?	1: present, 0: absent	Elevation is concerned with how high up or low an object is, altitude.	0		Vycichl (2005:198)		demonstrative	deixis	paradigm, declension, suppletion	1	GB036		
Is the opposition visible-non-visible marked on demonstratives?	1: present, 0: absent	Is there a distinction visible-non-visible when referencing to items that are in the same relative distance, i.e. it is not relevant that demonstratives denoting far away reference often also imply non-visibility.	0		Vycichl (2005:198)		demonstrative	deixis	paradigm, declension, suppletion	1	GB037		
Are there demonstrative classifiers?	1: present, 0: absent	Please note, this does NOT concern agreement with the noun class but a separate nominal classification system. This question concerns whether there exists a independent classifier system in demonstratives that is not related to the gender/noun class systems. This classifier system can however be symmetrical with numeral, possessive or verbal classifiers.	0		Vycichl (2005:1-258)		classifier, demonstrative	nominal classification	phonologically independent item, declension, agreement	3	GB038		
Are there declensions (partly) determined by number of the noun?	1: present, 0: absent	Is there nonphonological allomorphy of noun number markers? Are there, for example in the case of large noun class systems, different markings of number that does not correlate with different markings of singular, i.e. are there new groups in the plural that are not aligned with the singular groups?	1		Vycichl (2005:200-205)	There are a number of masculine and feminine plural suffixes and Arabic irregular/internal plural forms.	noun	number, nominal classification	?	4	GB039		
Are there nouns which are suppletive for number?	1: present, 0: absent	Only answer (1) if there are more than two examples of this. Body-parts and kinship terms are good place to start investigating.	1		Vycichl (2005:203); Souag (2013:64); Souag (p.c. 2023)	Vycichl (2005) as well as Souag (2013) give examples for nouns that are suppletive for number.	noun	number	suppletion	1	GB041		JR
Can singular number be marked on the noun itself?	1: present, 0: absent	This is meant to capture marking on a open set of nouns, not a restricted set. Absence of plural marking or marking on the entire NP is not enough for (1) here. Nouns derived from adjectives or verbs are not relevant here.	1		Vycichl (2005:200-207); Souag (2013:91); Souag (p.c. 2023)	Number can be marked on the noun with prefixes expressing gender and number, e.g. 'a-'/'ta-' indicating singular number.	noun	number, nominal classification	declension	2	GB042		JR
Can dual number be marked on the noun itself?	1: present, 0: absent	This is meant to capture marking on a open set of nouns, not a restricted set. Marking on the entire NP or reduplication is not enough for (1) here. Nouns derived from adjectives or verbs are not relevant here.	0		Vycichl (2005:198); Souag (2010:186-188); (2013:113-115); Lameen Souag (p.c. 2023)	There is a nominal dual marking suffix '-en', but it only occurs with a restricted set of nouns, i.e., a subset of measure nouns.	noun	number	declension	2	GB043		JR
Can plural number be marked on the noun itself?	1: present, 0: absent	This is meant to capture marking on a open set of nouns, not a restricted set. Marking on the entire NP or reduplication is not enough for (1) here. Nouns derived from adjectives or verbs are not relevant here.	1		Vycichl (2005:200-204)		noun	number, nominal classification	declension	2	GB044		
Are there associative plurals?	1: present, 0: absent	"Is there a marker on the noun that instead of marking additive plural ""several X"" marks that the reference contains entities associated with X, ""X and other people/things associated with X’."	0		Vycichl (2005:198-206)		noun, pronoun	number	declension	1	GB046		
Is there a productive morphologically marked Action/state nominalization (arrive/arrival)?	1: present, 0: absent	"Arrive -arriving would also serves as an example, or 'La concentracio´n de Sherlock Holmes duro´ cinco horas' - ‘Sherlock Holmes’ concentration lasted five hours’. Productive compounding with nouns is not sufficient for a ""yes ""in F47."	1		Souag (2010:420)		noun, verb	derivation, nominal classification	affixation and cliticization, infixation, tone, alternation, reduplication	3	GB047		
Is there a productive morphologically marked Agentive nominalization (sing-er)?	1: present, 0: absent	"Productive compounding with words meaning “person” is not sufficient for a ""yes ""in F48."	1		Souag (2010:421)		noun, verb	derivation	affixation and cliticization, infixation, tone, alternation, reduplication	3	GB048		
Is there a productive morphologically marked Object nominalization (sing; song)?	1: present, 0: absent	"Productive compounding with words meaning “thing” is not sufficient for a ""yes ""in F49."	1		Souag (2010:420)		noun, verb	derivation	affixation and cliticization, infixation, tone, alternation, reduplication	3	GB049		
Is sex a relevant category in any noun class/gender system?	1: present, 0: absent	Relevant category here does not have to mean that it's the absolute deciding factor when assigning a noun to a certain gender/NC, but that there is a clear preference for certain nouns to have a certain gender/NC.	1		Vycichl (2005:198)		noun	nominal classification	paradigm	3	GB051		
Is shape a relevant category in any noun class/gender system?	1: present, 0: absent	Relevant category here does not have to mean that it's the absolute deciding factor when assigning a noun to a certain gender/NC, but that there is a clear preference for certain nouns to have a certain gender/NC.	0		Vycichl (2005:198)		noun	nominal classification	paradigm	3	GB052		
Is animacy (without reference to sex) a relevant category in any noun class/gender system?	1: present, 0: absent	Relevant category here does not have to mean that it's the absolute deciding factor when assigning a noun to a certain gender/NC, but that there is a clear preference for certain nouns to have a certain gender/NC.	0		Vycichl (2005:198)		noun	nominal classification	paradigm	3	GB053		
Is plant status a relevant category in any noun class/gender system?	1: present, 0: absent	Relevant category here does not have to mean that it's the absolute deciding factor when assigning a noun to a certain gender/NC, but that there is a clear preference for certain nouns to have a certain gender/NC.	0		Vycichl (2005:198)		noun	nominal classification	paradigm	3	GB054		
Are there numeral classifiers?	1: present, 0: absent	This does not concern whether or not numerals agree with the noun class of the head they modify. This question concerns whether there exists a independent classifier system in numerals that is not related to the other classifier systems.	0		Vycichl (2005:1-258)		classifier, noun, NP, numeral	nominal classification, quantification	phonologically independent item, affixation and cliticization, declension, agreement	4	GB057		
Are there possessive classifiers?	1: present, 0: absent	This does not concern whether or not possessive markers agree with the noun class of the possessum. This question concerns whether there exists a independent classifier system in possessive markers that is not related to the other classifier systems. We are concerned both with markers that signal the nature of the possessor or the possessum, and the relationship between them. Differences in the expression of individual, joint, separate and group possession is not relevant here. This feature applies to both pronominal and nominal possessors. Possessive classifiers need not be obligatory, it can also be possible to construct possessive phrases with no classification of nominals into different categories.	0		Vycichl (2005:1-258)		classifier, noun, NP, pronoun	nominal classification, attributive possession, attribution	phonologically independent item, affixation and cliticization, declension, agreement	4	GB058		
Is alienable/inalienable a relevant distinction?	1: present, 0: absent	Is there a morpho-syntactic difference in attributive possession that can be attributed to alienability? This feature applies to both pronominal and nominal possessors.	1		Souag (2013:162); Vycichl (2005:217pp.); Souag (p.c. 2023)	Nominal possession is generally marked with the genitive preposition 'n'. For inalienable nouns, the possessor noun is additionally marked with possessive pronominal suffixes. If the possessor is pronominal, the possessed noun is marked with possessive suffixes for both inalienable and alienable possession. These possessive suffixes are different for inalienable and alienable possession.	noun, NP, pronoun	attributive possession, attribution	affixation and cliticization, phonologically independent item, declension	1	GB059		JR
Can possession be marked by a prefix?	1: present, 0: absent	Attributive possession on either the possessor or possessum. This feature applies to both pronominal and nominal possessors.	1		Vycichl (2005:207)	The normally free standing preposition can be assimilated to the noun it precedes and be prefixed.	noun, NP, pronoun	attributive possession, attribution	affixation and cliticization, declension	2	GB061		
Can possession be marked by a suffix?	1: present, 0: absent	Attributive possession on either the possessor or possessum. This feature applies to both pronominal and nominal possessors.	1		Vycichl (2005:217)	Suffixed pronouns indicate the possessor.	noun, NP, pronoun	attributive possession, attribution	affixation and cliticization, declension	2	GB062		
Can possession be marked on the nominal possessor?	1: present, 0: absent	Attributive possession only. This feature applies to both pronominal and nominal possessors.	1		Vycichl (2005:207)	Possession is marked by the preposition 'of' preceding the possessor. The preposition may be assimilated and prefixed to the noun denoting the possessor.	noun, NP, pronoun	attributive possession, attribution	declension	2	GB063		
Can possession be marked on the nominal possessee?	1: present, 0: absent	Attributive possession only. This feature applies to both pronominal and nominal possessors.	1		Vycichl (2005:217)	The possessor can be suffixed to the possessee in form of a pronoun.	noun, NP, pronoun	attributive possession, attribution	declension	2	GB064		
What is the order of possessor and possessed in the attributive possessive construction?	multistate 1:Possessor-Possessed; 2:Possessed-Possessor; 3: both	In a pragmatically unmarked construction, i.e. not focus. This feature applies to both pronominal and nominal possessors.	2		Vycichl (2005:207)		noun, NP, pronoun	attributive possession, attribution	word order	2	GB065		
Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) act like verbs in predicative position?	1: present, 0: absent	"Do elements expressing predicate adjectival meaning take on verbal morphology? The adjectival roots need not take exactly all verbal marking, if there is at least some marking that verbal and adjectival roots share then there is a yes here. For example: ""he runs"" and ""he greens""."	0		Souag (2010:154)		adjective, clause, verb	predication, number, person, nominal classification, TAM	declension, conjugation, agreement, bound person marking	3	GB068		
Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?	1: present, 0: absent	Do elements expressing attributive adjectival meaning receive the same treatment as verbs when verbs are used attributively, i.e. inside an NP? The adjectival roots need not take exactly all verbal marking. If there is at least some marking that verbal and adjectival roots share then there is a yes here. The result need not be finite, participles would count if that is the way verbs are marked when used attributively. This means that if the language in question forms modifying verbs by participles (“running man”) and this is the same for adjectival roots (“redding man”) then there is a yes here.	?		Souag (2010:1-519)	Verbs in attributive function are not discussed.	adjective, clause, verb	attribution, number, person, nominal classification, TAM	declension, conjugation, agreement, bound person marking	3	GB069		
Is there case marking for core nominal NPs (i.e., S, A or O function)?	1: present, 0: absent	Core NPs are the NPs required by the verb to be present, typically S, A or O.	0		Souag (2010:126)		noun, NP, case marker	argument marking - core	declension, case marking	2	GB070		
Is there case marking for core pronouns?	1: present, 0: absent	Core pronouns are the NPs required by the verb to be present, typically S, A or O.	0		Vycichl (2005:216); Souag (2013:46); Lameen Souag (p.c. 2023)	The case-marked forms are morphologically bound.	NP, pronoun, case marker	argument marking - core	declension, case marking	2	GB071		JR
Is there case marking for oblique nominal NPs?	1: present, 0: absent	Oblique NPs are NPs not required by the verb to be present, adverbial information, locative phrases, temporal phrases etc. Oblique case is defined as any bound marking that relates the role of the argument to the predicate - that is not core (S, A or O).	?		Vycichl (2005:208); Souag (163); Lameen Souag (p.c. 2023)	According to Vycichl (2005), dative case is marked with the preposition i- (y-/ye-) on the noun. Souag (2013) analyzes this preposition as a separate word. 	noun, NP, case marker	argument marking - oblique	declension, case marking	2	GB072		JR
Is there case marking for oblique pronouns?	1: present, 0: absent	Oblique pronouns are NPs not required by the verb to be present, adverbial information, locative phrases, temporal phrases etc. There are cases where obliques can express emphasized as core arguments. If these contexts are pragmatically marked they do not trigger a no (0) in F73 as there is still a distinction between core prototypical neutral core arguments and obliques. Oblique case is defined as any bound marking that relates the role of the argument to the predicate - that is not core (S, A or O). We explicitly exclude “genitive” from oblique cases since it is not concerned with the role of the argument to the predicate but within an NP. Languages can have oblique case without also having core case.	1		Vycichl (2005:216)		NP, pronoun, case marker	argument marking - oblique	declension, case marking	2	GB073		
Are there prepositions?	1: present, 0: absent		1		Vycichl (2005:246)		adposition	argument marking - core, argument marking - oblique	phonologically independent item	4	GB074		
Are there postpositions?	1: present, 0: absent		0		Souag (2010:306)		adposition	argument marking - core, argument marking - oblique	phonologically independent item	4	GB075		
Are there adpositions to mark core NPs?	1: present, 0: absent	Core NPs are the NPs required by the verb to be present, typically S, A or O. We are not to count the arguments of non-prototypical clause types, such as copula, existential verbs or predicative possessive constructions that are construed with copulas or existential verbs as core arguments.	0		Vycichl (2005:220)		adposition, NP, case marker	argument marking - core	phonologically independent item	3	GB076		
Are there adpositions to mark oblique NPs?	1: present, 0: absent	Oblique NPs are NPs not required by the verb to be present, adverbial information, locative phrases, temporal phrases etc. Oblique function is defined as marking that relates the role of the argument to the predicate - that is not core (S, A or O). We explicitly exclude “genitive” from oblique cases since it is not concerned with the role of the argument to the predicate but within an NP. Languages can have oblique adpositions without also having adpositions or case marking core arguments.	?		Vycichl (2005:)		adposition, NP, case marker	argument marking - oblique	phonologically independent item	3	GB077		
Do verbs have prefixes/proclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?	1: present, 0: absent	"The portmanteau morphemes in questions could be of person, number or TAM or markers of reciprocity, location, benefactive, direction etc. If there are affixes devoted to TAM solely these are also counted. Person markings expression more than one argument, relative markers or relative pronouns are also included here if they form a phonological units with the root. The outcome of this affixation has to be a verb, i.e. a affix that makes a verb into an instrumental noun for example would not count. This feature is not logically triggered by the following features, but if you have coded ""1"" for either of these you are advised to consider whether it would also result in a ""1"" for this feature: 152, 101, 151, 149, 82, 83, 84, 87, 88, 107, 104, 103, 147, 148, 114 and 115. The reason why there is no strict logical dependency is because while they all deal with markings on the verb, these can theoretically be other markings than prefixes, proclitics, enclitics or suffixes (reduplication, tone and suppletion). Since this kind of marking is rare, we recommend all coders being aware of this link even though it is not technically a strict dependency."	1		Vycichl (2005:226-227)		verb, bound person form, portmanteau morpheme	argument marking - core, argument marking - oblique, TAM	affixation and cliticization, bound person marking, conjugation	3	GB079		
Do verbs have suffixes/enclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?	1: present, 0: absent	"The portmanteau morphemes in questions could be of person, number or TAM or markers of reciprocity, location, benefactive, direction etc. If there are affixes devoted to TAM solely these are also counted. Person markings expressing more than one argument, relative markers or relative pronouns are also included here if they form a phonological units with the root. The outcome of this affixation has to be a verb, i.e. a affix that makes a verb into an instrumental noun for example would not count. This feature is not logically triggered by the following features, but if you have coded ""1"" for either of these you are advised to consider whether it would also result in a ""1"" for this feature: 152, 101, 151, 149, 82, 83, 84, 87, 88, 107, 104, 103, 147, 148, 114 and 115. The reason why there is no strict logical dependency is because while they all deal with markings on the verb, these can theoretically be other markings than prefixes, proclitics, enclitics or suffixes (reduplication, tone and suppletion). Since this kind of marking is rare, we recommend all coders being aware of this link even though it is not technically a strict dependency."	1		Vycichl (2005:226-227)		verb, bound person form, portmanteau morpheme	argument marking - core, argument marking - oblique, TAM	affixation and cliticization, bound person marking, conjugation	3	GB080		
Can infixation be used on verbs for derivational, aspectual, or voice-changing purposes?	1: present, 0: absent	This affix is stem internal, not between other affixes. Kashaya is a languge that illustrates this principle well.	0		Souag (2010:1-519)		verb	derivation, TAM, valency change	infixation	3	GB081		
Is there present tense regularly morphologically marked on the verb?	1: present, 0: absent	"This question aims at capturing overt productive paradigms of tense. ""On the verb"" here means that the marker has to form a phonological unit with the roots. This could refer to an affix, but suppletion, tonal marking and reduplication is also included.This feature aims at capturing over marking of present tense on the verb, i.e. lack of other markings is not enough. There are instances where TAM can be expressed by a combination of an affix and auxiliary, for example some grammarians state that future tense is accomplished by a certain aspect on the verbal root and an auxiliary. If this is the productive grammatical obligatory way of expression the tense in question than such a construction is allowed to trigger yes (1) for both ""on the verb ""and ""auxiliary""."	0		Vycichl (2005:1-258)		verb	TAM	conjugation	4	GB082		
Is there past tense regularly morphologically marked on the verb?	1: present, 0: absent	"This question aims at capturing productive paradigms of tense. ""On the verb"" here means that the marker has to form a phonological unit with the roots. This could refer to an affix, but suppletion, tonal marking and reduplication is also included. There are instances where TAM can be expressed by a combination of an affix and auxiliary, for example some grammarians state that future tense is accomplished by a certain aspect on the verbal root and an auxiliary. If this is the productive grammatical obligatory way of expression the tense in question than such a construction is allowed to trigger yes (1) for both ""on the verb ""and ""auxiliary""."	0		Vycichl (2005:226, 230); Souag (193-195); Lameen Souag (p.c. 2023)	There is no past tense in Siwi. According to Souag (2013), realis completed actions are expressed using perfective aspect.	verb	TAM	conjugation	2	GB083		JR
Is there future tense regularly morphologically marked on the verb?	1: present, 0: absent	"This question aims at capturing productive paradigms of tense. ""On the verb"" here means that the marker has to form a phonological unit with the roots. This could refer to an affix, but suppletion, tonal marking and reduplication is also included. There are instances where TAM can be expressed by a combination of an affix and auxiliary, for example some grammarians state that future tense is accomplished by a certain aspect on the verbal root and an auxiliary. If this is the productive grammatical obligatory way of expression the tense in question than such a construction is allowed to trigger yes (1) for both ""on the verb ""and ""auxiliary""."	0		Vycichl (2005:229); Souag (187-188); Lameen Souag (p.c. 2023)	There is no future tense in Siwi. Souag (2013) analyzes prefix 'ga-' as irrealis marker.	verb	TAM	conjugation	3	GB084		JR
Is a distinction between punctual/continuous aspect available as a morphological choice?	1: present, 0: absent	"These categories could go by the name of imperfect-perfective, preterit-progressive etc. The answer could be ""yes"" even if it's only one that is overtly marked, i.e. if imperfective is by affix and perfective by auxiliary for example. Please take notice that 310 and 86 are not covering exactly the same functions, there are more aspects than punctual/continuous."	1		Vycichl (2005:230)		verb	TAM	conjugation	2	GB086		
Is a distinction between realis/irrealis mood available as a morphological choice?	1: present, 0: absent	Markers of status (realis/irrealis) need to be dedicated to that function and possible in most TAM-contexts, it cannot be restricted to certain TAM or polarity contexts.	?		Vycichl (2005:)		verb	TAM	conjugation	3	GB087		
Is there an apprehensive modal category marked on the verb also known as 'evitative', 'lest', etc.?	1: present, 0: absent	"For example, in a sentence like ""he is sick "" can you mark ""is-sick"" with an apprehensive modal category to get the meaning he might become sick (and this is an unwanted state of affairs that one would like to avoid) ."	?		Vycichl (2005:)		verb	TAM	conjugation	3	GB088		
Is the S participant (at least sometimes) marked by a suffix/enclitic?	1: present, 0: absent	Is there a bound postverbal marker on the verb that marks for the S-participant?	1		Vycichl (2005:226-227)	The S and A participants trigger agreement on the verb. There are person pre- and suffixes.	verb, bound person form	argument marking - core	affixation and cliticization, bound person marking, conjugation, word order	2	GB089		
Is the S participant (at least sometimes) marked by a prefix/proclitic?	1: present, 0: absent	Is there a bound preverbal marker on the verb that marks for the S-participant?	1		Vycichl (2005:226-227)	The S and A participants trigger agreement on the verb. There are person pre- and suffixes.	verb, bound person form	argument marking - core	affixation and cliticization, bound person marking, conjugation, word order	2	GB090		
Is the A participant (at least sometimes) marked by a suffix/enclitic?	1: present, 0: absent	Is there a bound postverbal marker on the verb that marks for the A-participant?	1		Vycichl (2005:226-227)	The S and A participants trigger agreement on the verb. There are person pre- and suffixes.	verb, bound person form	argument marking - core	affixation and cliticization, bound person marking, conjugation, word order	2	GB091		
Is the A participant (at least sometimes) marked by a prefix/proclitic?	1: present, 0: absent	Is there a bound preverbal marker on the verb that marks for the A-participant?	1		Vycichl (2005:226-227)	The S and A participants trigger agreement on the verb. There are person pre- and suffixes.	verb, bound person form	argument marking - core	affixation and cliticization, bound person marking, conjugation, word order	2	GB092		
Is the O participant (at least sometimes) marked by a suffix/enclitic?	1: present, 0: absent	Is there a bound postverbal marker on the verb that marks for the O-participant?	1		Vycichl (2005:241)	The O participant can be expressed in form of a person suffix.	verb, bound person form	argument marking - core	affixation and cliticization, bound person marking, conjugation, word order	2	GB093		
Is the O participant (at least sometimes) marked by a prefix/proclitic?	1: present, 0: absent	Is there a bound preverbal marker on the verb that marks for the O-participant?	0		Vycichl (2005:1-258)		verb, bound person form	argument marking - core	affixation and cliticization, bound person marking, conjugation, word order	2	GB094		
Are variations in marking strategies of core participants based on TAM distinctions?	1: present, 0: absent	"By ""marking strategies of core participants"" we are referring to the placement of affix/clitic marking in relation to the verbal root. F95-98 does not relate to alignment (F141-142, F278-282) but to the prefix/proclitic & suffix/enclitic-features of F89-F94. The fact that arguments can be marked by independent pronouns or by verbal agreement only is not relevant here, it is the position in relation to the verbal root that is targeted."	0		Vycichl (2005:1-258)		verb, bound person form	argument marking - core, TAM	affixation and cliticization, bound person marking, conjugation, word order	1	GB095		
Are variations in marking strategies of core participants based on verb classes?	1: present, 0: absent	"By ""marking strategies of core participants"" we are referring to the placement of affix/clitic marking in relation to the verbal root. F95-98 does not relate to alignment (F141-142, F278-282) but to the prefix/proclitic & suffix/enclitic-features of F89-F94. The fact that arguments can be marked by independent pronouns or by verbal agreement only is not relevant here, it is the position in relation to the verbal root that is targeted."	0		Vycichl (2005:1-258)		verb, bound person form	argument marking - core, verb classification	affixation and cliticization, bound person marking, conjugation, word order	1	GB096		
Are variations in marking strategies of core participants based on clause type, e.g. main vs. subordinate?	1: present, 0: absent	"By ""marking strategies of core participants"" we are referring to the placement of affix/clitic marking in relation to the verbal root. F95-98 does not relate to alignment (F141-142, F278-282) but to the prefix/proclitic & suffix/enclitic-features of F89-F94. The fact that arguments can be marked by independent pronouns or by verbal agreement only is not relevant here, it is the position in relation to the verbal root that is targeted."	0		Vycichl (2005:1-258)		clause, verb, bound person form	argument marking - core, subordination	affixation and cliticization, bound person marking, conjugation, word order	1	GB097		
Are variations in marking strategies of core participants based on person distinctions?	1: present, 0: absent	"By ""marking strategies of core participants"" we are referring to the placement of affix/clitic marking in relation to the verbal root. F95-98 does not relate to alignment (F141-142, F278-282) but to the prefix/proclitic & suffix/enclitic-features of F89-F94. The fact that arguments can be marked by independent pronouns or by verbal agreement only is not relevant here, it is the position in relation to the verbal root that is targeted."	1		Vycichl (2005:226-227)	The S and A participants trigger agreement on the verb. There are person pre- and suffixes.	verb, bound person form	argument marking - core, person	affixation and cliticization, bound person marking, conjugation, word order	1	GB098		
Do verb stems alter according to the person of a core participant?	1: present, 0: absent	i.e. can suppletion mark person?	0		Vycichl (2005:237-238); Lameen Souag (p.c. 2023)	Using the root and pattern system, there is no strong suppletion as long as the root consonants remain the same. There is weak suppletion conditioned by person seen in the verbs for 'come' and 'go'.	verb	person	suppletion	1	GB099		JR
Are benefactive nominals marked on the verb?	1: present, 0: absent	"This question concerns a bound verbal marker that signals that the verb has a benefactive argument. The marker could be analyzed in the language-specific case as voice, agreement or a bound pronoun. The marker doesn't have to index the benefactor or benefactee. Serial-verb-constructions that include a marker of benefactive (typically the root for ""give"") do not count here."	1		Souag (2013:165); Lameen Souag (p.c. 2023)	Dative/benefactive is marked on the verb stem with dative pronominal affixes.	verb, bound person form	argument marking - oblique	affixation and cliticization, bound person marking, conjugation	2	GB103		JR
Can instruments be marked on the verb?	1: present, 0: absent	This marker doesn't have to index the instrument.	0		Souag (2010:1-519)		verb, bound person form	argument marking - oblique	affixation and cliticization, bound person marking, conjugation	2	GB104		
